"Name","Population","Home Value Growth (YoY)","Home Value","Price Cut %","Days on Market"
"Ontonagon, MI","5,870","0.1%","$123,964","10.5%","58"
"Lee, IL","34,058","5.6%","$171,194","17.2%","45"
"Marquette, MI","66,999","5.5%","$234,216","11.5%","29"
"Marquette, WI","15,706","6.4%","$266,113","10.9%","52"
"Chittenden, VT","169,481","0.2%","$518,528","15.6%","32"
"Nantucket, MA","14,299","-0.7%","$2,996,393","4.8%","47"
"Oxford, ME","58,728","2.2%","$322,615","22.3%","56"
"Dukes, MA","20,751","0.1%","$1,530,702","9.6%","48"
"Plymouth, MA","535,308","3.5%","$633,166","29.4%","30"
"Bristol, RI","50,568","5.0%","$630,192","11.9%","29"
"Bristol, MA","581,841","5.1%","$529,250","29.9%","25"
"Kent, MI","661,354","3.6%","$346,026","19.1%","27"
"Kent, RI","171,278","5.2%","$420,554","12.9%","33"
"Hampden, MA","460,291","4.7%","$336,992","24.9%","24"
"Middlesex, MA","1,623,952","2.9%","$827,097","32.9%","19"
"Middlesex, CT","164,759","4.9%","$432,757","-","-"
"Berkshire, MA","126,818","3.9%","$380,689","17.5%","43"
"Suffolk, MA","768,425","2.9%","$780,301","27.3%","36"
"Suffolk, NY","1,523,170","4.5%","$687,312","9.7%","53"
"Otsego, MI","25,352","5.7%","$255,905","25.2%","52"
"Otsego, NY","59,738","2.1%","$198,913","8.8%","56"
"Onondaga, NY","467,873","7.9%","$259,805","8.5%","40"
"Monroe, NY","748,482","6.5%","$271,363","4.1%","22"
"Monroe, MI","155,045","2.7%","$256,222","22.9%","32"
"Monroe, PA","166,053","1.7%","$311,080","24.0%","54"
"Luzerne, PA","327,388","5.6%","$213,718","32.9%","37"
"Trumbull, OH","200,373","6.5%","$156,913","21.6%","43"
"Lorain, OH","317,910","6.0%","$249,211","21.1%","33"
"Huron, MI","31,258","1.0%","$193,641","18.9%","52"
"Huron, OH","58,412","4.1%","$182,861","16.8%","43"
"Chippewa, MI","36,448","4.0%","$182,552","15.1%","45"
"Charlevoix, MI","26,143","4.5%","$398,764","24.3%","39"
"Kalkaska, MI","18,116","3.7%","$221,563","18.8%","32"
"Luce, MI","6,325","4.7%","$134,870","0.0%","82"
"Macomb, MI","875,101","3.6%","$268,454","21.3%","32"
"Gratiot, MI","41,478","1.4%","$173,087","27.4%","45"
"Barry, MI","62,982","3.9%","$281,123","30.0%","36"
"Ottawa, OH","40,161","3.9%","$267,134","29.0%","52"
"Ottawa, MI","303,372","3.7%","$384,547","21.1%","37"
"Allen, IN","394,545","3.9%","$248,456","28.0%","38"
"Fulton, OH","42,434","6.0%","$222,290","11.1%","35"
"Fulton, NY","52,787","3.2%","$197,889","27.8%","38"
"Fulton, IN","20,411","8.4%","$194,088","16.6%","59"
"Alger, MI","8,813","2.9%","$209,009","6.8%","30"
"Oconto, WI","39,329","6.0%","$298,260","32.8%","38"
"Baraga, MI","8,249","6.6%","$159,477","13.3%","168"
"Sheboygan, WI","117,752","7.3%","$311,272","16.6%","36"
"Milwaukee, WI","916,205","4.4%","$279,428","17.5%","29"
"DuPage, IL","921,213","4.9%","$427,634","12.8%","26"
"Jefferson, NY","114,787","4.2%","$210,818","21.9%","43"
"Jefferson, PA","44,099","1.5%","$113,284","11.8%","43"
"Jefferson, WI","85,743","5.2%","$349,648","16.4%","42"
"Ogle, IL","51,536","1.5%","$215,155","17.0%","37"
"Putnam, NY","98,060","5.3%","$535,018","11.9%","31"
"Putnam, OH","34,352","9.2%","$234,791","24.4%","44"
"Putnam, IL","5,600","6.0%","$189,221","14.2%","100"
"Stephenson, IL","44,042","7.3%","$146,128","18.3%","50"
"Carroll, NH","51,259","2.2%","$477,445","17.9%","39"
"Henry, OH","27,581","7.0%","$199,103","20.6%","36"
"Knox, ME","40,860","1.7%","$446,634","18.9%","66"
"Washington, RI","129,982","6.2%","$650,973","8.9%","37"
"Washington, NY","60,883","2.7%","$235,308","15.7%","43"
"Washington, VT","59,958","-0.4%","$387,975","16.4%","36"
"Washington, WI","138,168","4.6%","$414,204","14.9%","33"
"Washington, ME","31,261","-0.0%","$194,174","19.8%","69"
"Essex, NY","37,077","-9.4%","$264,618","15.3%","113"
"Essex, MA","810,089","3.8%","$715,517","24.7%","18"
"Essex, VT","5,972","-2.0%","$220,596","9.5%","60"
"Franklin, MA","70,836","4.9%","$357,846","23.3%","24"
"Franklin, NY","47,066","0.2%","$161,600","16.5%","68"
"Franklin, ME","30,145","3.1%","$285,586","16.0%","69"
"Franklin, VT","50,379","-0.8%","$364,766","18.4%","44"
"New Haven, CT","863,700","4.6%","$387,325","-","-"
"Schenectady, NY","159,902","4.3%","$285,265","9.2%","22"
"Rockland, NY","340,807","4.1%","$721,935","9.0%","36"
"Schoharie, NY","29,979","7.8%","$227,900","16.6%","54"
"Susquehanna, PA","38,349","4.1%","$229,113","19.5%","43"
"Wayne, OH","116,510","5.8%","$253,498","28.1%","33"
"Wayne, PA","51,189","4.0%","$296,556","20.2%","50"
"Wayne, MI","1,751,169","4.1%","$176,311","17.6%","40"
"Wayne, NY","90,829","8.0%","$228,094","2.1%","31"
"Cameron, PA","4,475","10.4%","$76,800","0.0%","81"
"Columbia, NY","61,245","3.0%","$444,268","14.4%","51"
"Columbia, WI","58,322","5.9%","$345,125","18.6%","54"
"Columbia, PA","65,439","-0.4%","$230,723","16.1%","38"
"Union, PA","42,570","2.9%","$271,813","20.3%","53"
"Geauga, OH","95,407","5.4%","$367,183","17.6%","29"
"Iosco, MI","25,333","2.5%","$160,699","13.4%","32"
"Seneca, NY","33,125","5.7%","$206,403","18.6%","36"
"Seneca, OH","54,861","2.0%","$165,112","14.8%","36"
"Tuscola, MI","53,071","4.1%","$179,372","25.1%","51"
"Wood, OH","132,650","3.5%","$235,410","14.2%","36"
"Genesee, NY","57,943","5.7%","$207,482","10.1%","24"
"Genesee, MI","401,522","2.2%","$185,642","23.9%","45"
"Kosciusko, IN","80,364","3.3%","$271,669","21.8%","45"
"Pulaski, IN","12,441","7.3%","$179,696","21.4%","47"
"Cook, IL","5,087,072","2.9%","$318,892","14.8%","32"
"Menominee, WI","4,256","3.2%","$269,655","23.5%","49"
"Menominee, MI","23,295","7.0%","$178,332","15.3%","33"
"Oneida, NY","227,555","5.9%","$214,228","13.1%","39"
"Ozaukee, WI","93,460","4.8%","$481,848","10.4%","32"
"Walworth, WI","105,822","3.7%","$395,282","22.4%","44"
"Rock, WI","164,278","6.7%","$281,991","11.2%","37"
"Waushara, WI","24,752","8.7%","$274,348","19.2%","39"
"Stark, OH","372,716","7.0%","$207,065","17.1%","30"
"Stark, IL","5,324","-1.1%","$132,064","30.7%","46"
"Kauai, HI","73,851","-0.1%","$1,009,767","19.2%","88"
"Sevier, UT","21,854","2.9%","$318,780","26.0%","81"
"Clark, NV","2,336,573","3.4%","$441,615","32.6%","46"
"La Paz, AZ","16,605","0.3%","$268,090","29.6%","68"
"Douglas, NV","49,624","1.3%","$691,174","22.9%","60"
"Mono, CA","13,169","0.6%","$758,422","21.9%","49"
"Tulare, CA","479,468","3.3%","$358,075","25.5%","44"
"Mariposa, CA","17,060","-0.1%","$404,062","23.3%","68"
"San Bernardino, CA","2,195,611","1.6%","$560,816","23.0%","53"
"Riverside, CA","2,492,442","0.7%","$623,219","26.4%","54"
"San Diego, CA","3,269,973","0.8%","$961,467","27.8%","38"
"Yolo, CA","220,544","0.1%","$629,227","29.7%","39"
"Napa, CA","133,216","-0.7%","$917,227","21.5%","54"
"Lake, CA","67,878","-1.2%","$312,324","26.2%","68"
"Piute, UT","1,705","-","-","0.0%","99"
"Iron, UT","60,201","0.7%","$405,180","22.3%","60"
"Mohave, AZ","223,682","-0.6%","$349,902","28.3%","63"
"Madera, CA","162,858","2.9%","$426,481","25.5%","58"
"Ventura, CA","829,590","1.5%","$902,877","24.4%","43"
"Nevada, CA","102,037","0.2%","$634,120","23.7%","49"
"Sacramento, CA","1,584,288","-0.0%","$544,432","32.2%","37"
"Mendocino, CA","89,108","-3.8%","$517,403","20.7%","67"
"San Joaquin, CA","800,965","0.1%","$551,804","27.3%","41"
"Santa Cruz, CA","261,547","-1.3%","$1,170,663","24.6%","38"
"San Mateo, CA","726,353","3.5%","$1,625,291","18.2%","30"
"San Francisco, CA","808,988","1.9%","$1,309,966","16.2%","59"
"Millard, UT","13,179","5.4%","$341,662","13.5%","79"
"Washington, UT","202,452","0.6%","$537,663","28.8%","68"
"Pima, AZ","1,063,162","-1.2%","$352,554","28.9%","52"
"Lyon, NV","60,630","2.7%","$409,341","23.9%","43"
"Kings, CA","152,682","2.5%","$359,451","25.9%","42"
"Plumas, CA","19,607","0.2%","$369,199","14.2%","43"
"Yuba, CA","85,722","0.9%","$420,843","27.8%","46"
"Butte, CA","207,172","0.0%","$401,379","26.3%","56"
"San Luis Obispo, CA","281,639","1.6%","$910,242","26.5%","56"
"Merced, CA","291,920","1.1%","$423,196","26.4%","45"
"Monterey, CA","430,723","1.1%","$867,029","20.4%","44"
"Kane, UT","7,996","0.6%","$416,910","18.4%","64"
"Yuma, AZ","213,221","2.6%","$277,992","20.2%","60"
"Kern, CA","913,820","3.3%","$365,507","22.1%","45"
"Tuolumne, CA","54,873","0.6%","$404,970","25.6%","63"
"Los Angeles, CA","9,663,345","1.9%","$908,153","20.1%","45"
"El Dorado, CA","192,215","0.0%","$671,943","30.1%","43"
"Marin, CA","254,407","-0.5%","$1,472,301","26.6%","32"
"Garfield, UT","5,170","3.2%","$243,530","7.0%","85"
"Coconino, AZ","144,472","2.5%","$639,621","28.2%","52"
"Yavapai, AZ","249,081","0.0%","$510,306","32.3%","57"
"Imperial, CA","179,057","5.6%","$362,761","20.5%","47"
"Alpine, CA","1,695","2.9%","$509,208","17.7%","88"
"Santa Barbara, CA","441,257","1.1%","$1,007,252","23.2%","46"
"Contra Costa, CA","1,155,025","-1.8%","$819,458","25.4%","31"
"Santa Clara, CA","1,877,592","5.7%","$1,746,722","20.9%","26"
"Juab, UT","12,273","2.4%","$440,255","30.7%","58"
"Maricopa, AZ","4,585,871","-2.0%","$475,352","40.7%","57"
"Carson City, NV","58,364","2.8%","$490,980","26.6%","37"
"Nye, NV","53,207","4.2%","$360,763","25.6%","63"
"Esmeralda, NV","962","-","-","0.0%","298"
"Amador, CA","41,029","-0.7%","$428,669","30.6%","51"
"Solano, CA","449,218","-0.7%","$598,252","29.4%","40"
"Stanislaus, CA","551,430","1.3%","$475,036","26.8%","42"
"San Benito, CA","68,175","-0.0%","$782,632","33.1%","46"
"Beaver, UT","7,172","1.5%","$293,741","5.7%","75"
"White Pine, NV","8,856","-1.6%","$172,324","9.0%","87"
"Churchill, NV","25,614","4.6%","$382,844","15.6%","42"
"Mineral, NV","4,557","-3.5%","$131,188","13.3%","89"
"Storey, NV","4,139","-0.7%","$483,394","23.5%","78"
"Sutter, CA","97,948","0.0%","$442,803","39.0%","40"
"Colusa, CA","21,895","0.5%","$374,627","26.0%","58"
"Sonoma, CA","481,812","-0.7%","$817,170","25.0%","37"
"Fresno, CA","1,017,162","1.7%","$409,400","21.4%","44"
"Alameda, CA","1,622,188","0.1%","$1,147,942","21.8%","31"
"Lincoln, NV","4,452","-4.4%","$223,359","12.5%","85"
"Pershing, NV","6,505","1.4%","$200,303","0.0%","116"
"Inyo, CA","18,803","2.2%","$501,404","17.0%","32"
"Orange, CA","3,135,755","6.4%","$1,197,590","24.6%","44"
"Sierra, CA","2,731","2.9%","$324,015","17.3%","63"
"Placer, CA","423,561","1.0%","$702,996","31.1%","40"
"Calaveras, CA","45,995","0.0%","$450,935","24.1%","59"
"Tehama, CA","64,896","-0.0%","$318,046","23.1%","57"
"Glenn, CA","28,623","2.1%","$353,630","38.8%","54"
"Jersey, IL","21,336","2.8%","$194,792","22.2%","50"
"St. Francois, MO","67,058","4.2%","$187,388","26.1%","51"
"Tallahatchie, MS","12,363","5.1%","$101,259","30.7%","108"
"Quitman, MS","5,908","-","-","0.0%","119"
"Bolivar, MS","30,163","1.5%","$132,498","17.9%","96"
"Lafourche, LA","95,056","-2.6%","$185,258","18.6%","72"
"Tangipahoa, LA","138,064","0.2%","$216,176","24.3%","53"
"Appanoose, IA","12,242","1.6%","$106,047","30.5%","60"
"Pettis, MO","43,205","5.7%","$182,460","28.3%","38"
"Ray, MO","23,149","6.3%","$254,033","25.2%","55"
"Holt, MO","4,254","-","-","0.0%","100"
"Woodruff, AR","6,157","-7.5%","$78,173","25.0%","45"
"Laclede, MO","36,245","3.2%","$223,599","16.6%","46"
"Pope, AR","63,830","3.7%","$203,014","19.0%","61"
"Yell, AR","20,195","0.2%","$159,528","18.8%","77"
"Dade, MO","7,627","3.1%","$179,527","31.5%","57"
"Morehouse, LA","24,967","-6.0%","$86,047","11.9%","128"
"Nevada, AR","8,228","-","-","30.7%","72"
"De Soto, LA","26,897","9.2%","$190,009","28.3%","73"
"Bossier, LA","129,795","1.1%","$239,539","23.4%","54"
"Pointe Coupee, LA","20,438","-5.1%","$180,043","14.2%","66"
"Acadia, LA","57,218","-1.1%","$149,282","28.5%","94"
"Shawnee, KS","177,746","5.0%","$205,095","25.7%","36"
"Republic, KS","4,662","4.2%","$110,645","0.0%","115"
"Harlan, NE","3,006","2.9%","$142,654","0.0%","70"
"Rogers, OK","100,248","1.5%","$277,548","19.5%","51"
"Tulsa, OK","682,868","2.8%","$245,647","27.1%","46"
"Murray, OK","13,807","5.6%","$169,533","19.0%","70"
"Noble, OK","10,909","6.1%","$145,993","16.3%","50"
"Grady, OK","55,868","4.5%","$235,329","20.4%","53"
"Kingfisher, OK","15,288","3.9%","$228,489","21.7%","88"
"Barber, KS","4,153","5.1%","$81,353","33.3%","73"
"Choctaw, OK","14,299","5.3%","$131,046","12.5%","89"
"Van Zandt, TX","61,323","-1.5%","$278,044","28.2%","71"
"Navarro, TX","53,735","2.4%","$222,105","28.2%","65"
"Hill, TX","36,664","2.1%","$232,393","29.7%","59"
"Bell, TX","393,193","-2.2%","$256,118","25.5%","61"
"Parker, TX","173,494","0.1%","$451,615","36.0%","51"
"Palo Pinto, TX","28,920","0.4%","$276,480","20.8%","75"
"Harris, TX","4,835,125","-1.3%","$287,713","24.7%","43"
"Goliad, TX","7,096","6.1%","$280,634","16.6%","56"
"Kendall, TX","46,971","-0.1%","$606,426","30.9%","67"
"Gillespie, TX","27,202","0.5%","$525,418","15.3%","84"
"La Salle, TX","6,946","5.6%","$133,563","0.0%","71"
"Frio, TX","18,019","-9.5%","$152,820","16.6%","61"
"Jim Hogg, TX","4,797","-6.4%","$88,188","0.0%","139"
"Ness, KS","2,659","3.5%","$90,550","40.0%","136"
"Greeley, KS","1,296","1.9%","$133,748","0.0%","73"
"Roger Mills, OK","3,378","5.4%","$175,433","0.0%","99"
"Meade, KS","3,949","3.4%","$122,493","26.6%","135"
"Donley, TX","3,276","-8.2%","$102,597","19.0%","57"
"Hutchinson, TX","20,413","2.1%","$117,488","31.0%","61"
"Morton, KS","2,647","0.8%","$103,367","0.0%","75"
"Prowers, CO","11,931","2.6%","$168,758","11.4%","81"
"Dallam, TX","7,180","0.8%","$147,179","28.5%","47"
"Oldham, TX","2,097","-","-","57.1%","51"
"Stonewall, TX","1,244","-7.4%","$97,896","0.0%","96"
"Scurry, TX","16,633","5.4%","$131,791","17.0%","46"
"Borden, TX","723","-","-","0.0%","95"
"Lamb, TX","12,919","-0.6%","$103,612","34.0%","80"
"Terrell, TX","851","-1.6%","$122,944","0.0%","77"
"Las Animas, CO","14,392","0.1%","$242,197","20.6%","91"
"Alamosa, CO","16,515","3.9%","$314,149","18.1%","50"
"Hinsdale, CO","939","3.0%","$454,062","15.3%","234"
"Doña Ana, NM","225,210","1.3%","$289,389","20.3%","68"
"Cibola, NM","27,059","4.3%","$144,518","11.2%","114"
"Navajo, AZ","109,175","-0.1%","$385,577","23.6%","52"
"St. Louis, MO","281,754","1.6%","$178,788","24.1%","44"
"St. Louis, MO","987,059","2.7%","$281,289","21.6%","36"
"Ste. Genevieve, MO","18,551","6.9%","$262,735","19.6%","67"
"Tunica, MS","9,586","0.7%","$142,894","0.0%","53"
"Rankin, MS","160,417","1.5%","$262,533","18.4%","61"
"Sharkey, MS","3,848","-8.4%","$107,024","0.0%","203"
"Plaquemines, LA","23,070","0.8%","$291,490","25.0%","58"
"St. Charles, MO","416,659","2.6%","$364,159","18.8%","39"
"St. Charles, LA","51,863","0.5%","$258,667","25.2%","61"
"Ralls, MO","10,394","6.4%","$240,783","22.2%","45"
"Macon, MO","15,163","3.4%","$171,176","10.0%","57"
"Chariton, MO","7,406","-3.6%","$134,857","0.0%","59"
"Buchanan, MO","82,956","6.9%","$180,290","27.2%","44"
"Faulkner, AR","129,951","3.7%","$252,635","18.5%","46"
"Conway, AR","20,872","-4.5%","$157,545","12.9%","52"
"Le Flore, OK","48,728","3.2%","$159,960","26.9%","73"
"East Carroll, LA","7,195","-6.8%","$71,359","44.4%","183"
"West Carroll, LA","9,622","3.9%","$128,448","26.6%","60"
"Concordia, LA","18,325","-5.2%","$102,123","7.0%","118"
"Drew, AR","17,143","1.4%","$157,382","6.2%","71"
"Avoyelles, LA","39,176","1.5%","$126,429","22.4%","81"
"Bienville, LA","12,769","2.1%","$107,502","13.7%","73"
"Little River, AR","11,959","-2.7%","$145,490","13.3%","66"
"Camp, TX","12,652","-3.5%","$211,403","27.4%","73"
"Trinity, TX","13,850","2.2%","$184,727","23.6%","86"
"Terrebonne, LA","103,616","-4.5%","$175,241","16.6%","91"
"Vermilion, LA","57,031","-1.3%","$163,125","22.3%","73"
"Atchison, MO","5,216","5.1%","$134,956","0.0%","36"
"Atchison, KS","16,211","5.0%","$168,826","15.0%","54"
"Lyon, KS","32,145","3.6%","$183,346","30.7%","44"
"Wabaunsee, KS","6,961","7.6%","$244,648","18.1%","66"
"Gage, NE","21,646","8.8%","$198,085","17.7%","34"
"Cloud, KS","8,973","12.9%","$110,547","6.6%","60"
"Jewell, KS","2,909","6.1%","$95,538","30.7%","91"
"Russell, KS","6,717","4.5%","$104,841","11.1%","69"
"Rooks, KS","4,869","6.4%","$107,702","30.7%","64"
"Nowata, OK","9,392","5.4%","$162,429","29.6%","53"
"Okmulgee, OK","36,922","5.2%","$130,950","28.2%","64"
"Elk, KS","2,464","9.9%","$77,802","0.0%","51"
"Creek, OK","73,332","5.1%","$210,471","33.6%","50"
"Pontotoc, OK","38,158","1.3%","$178,022","17.9%","53"
"Sumner, KS","22,386","2.1%","$138,794","28.5%","53"
"Blaine, OK","8,603","-2.5%","$102,638","12.1%","57"
"Woods, OK","8,619","-1.0%","$106,256","6.2%","142"
"Limestone, TX","22,185","3.6%","$166,691","24.4%","43"
"Rockwall, TX","131,307","-1.8%","$427,543","31.4%","51"
"Grayson, TX","146,907","-0.1%","$302,635","28.2%","60"
"McLennan, TX","268,583","-0.9%","$262,406","28.8%","33"
"Denton, TX","1,007,703","-1.6%","$470,057","36.3%","42"
"Carter, MO","5,269","0.9%","$184,374","10.8%","94"
"Carter, OK","48,255","-0.0%","$173,207","19.1%","71"
"Cooke, TX","42,473","3.2%","$327,475","32.8%","66"
"Montague, TX","20,599","-0.1%","$261,507","26.8%","57"
"Hood, TX","67,774","0.2%","$379,549","34.9%","58"
"Lampasas, TX","22,267","1.6%","$309,328","32.4%","82"
"Fort Bend, TX","916,778","-0.5%","$394,689","25.2%","38"
"Austin, TX","30,712","2.7%","$424,975","24.5%","52"
"Burleson, TX","18,327","-1.6%","$253,209","18.1%","63"
"Aransas, TX","24,449","-3.1%","$311,937","23.4%","75"
"Gonzales, TX","19,764","-2.5%","$264,324","11.1%","84"
"Travis, TX","1,334,961","-5.5%","$510,751","36.1%","47"
"Starr, TX","65,934","-1.5%","$133,606","13.2%","94"
"Wallace, KS","1,459","6.4%","$128,901","0.0%","235"
"Ford, KS","34,133","7.3%","$213,413","16.8%","93"
"Swisher, TX","6,981","-2.7%","$96,338","25.0%","66"
"Randall, TX","148,255","-0.1%","$253,436","26.5%","48"
"King, TX","189","-","-","0.0%","142"
"Dickens, TX","1,641","2.5%","$88,470","0.0%","26"
"Garza, TX","5,435","-3.4%","$115,501","0.0%","44"
"Hale, TX","32,247","-4.8%","$116,769","19.7%","82"
"Sutton, TX","3,306","-6.4%","$158,117","21.0%","121"
"Elbert, CO","27,152","1.6%","$687,723","31.8%","44"
"Denver, CO","716,577","-2.7%","$576,020","41.7%","43"
"Broomfield, CO","76,860","-0.7%","$654,633","38.6%","35"
"Lake, CO","7,411","2.7%","$484,050","25.3%","63"
"Ouray, CO","5,024","0.2%","$791,711","13.9%","92"
"Rio Grande, CO","11,394","5.7%","$313,769","18.6%","86"
"Archuleta, CO","13,730","3.3%","$577,525","21.7%","64"
"Chaves, NM","64,446","3.0%","$164,154","16.0%","71"
"Presidio, TX","6,043","1.5%","$224,687","6.7%","148"
"Duchesne, UT","19,932","4.2%","$358,062","21.5%","56"
"McKinley, NM","68,797","3.2%","$217,614","16.9%","43"
"Cochise, AZ","124,640","0.4%","$260,624","20.0%","67"
"Santa Cruz, AZ","48,209","0.6%","$279,647","19.8%","80"
"Mississippi, AR","39,749","1.8%","$99,466","8.7%","54"
"Simpson, MS","25,817","8.6%","$149,463","13.0%","99"
"Leflore, MS","27,432","-2.3%","$76,213","16.6%","82"
"Issaquena, MS","1,095","-","-","0.0%","313"
"St. James, LA","19,797","-0.1%","$188,843","32.4%","102"
"Lewis, MO","9,945","4.7%","$174,280","0.0%","46"
"Maries, MO","8,435","4.8%","$244,038","10.0%","58"
"Grundy, MO","9,822","3.4%","$111,971","12.9%","33"
"Sharp, AR","17,597","-2.1%","$141,314","10.9%","81"
"Izard, AR","13,866","1.4%","$168,528","19.6%","59"
"Barry, MO","34,831","6.3%","$237,879","22.4%","58"
"Benton, MO","19,887","7.4%","$182,294","28.7%","52"
"Benton, AR","311,013","4.0%","$379,780","20.8%","46"
"Delaware, OK","41,017","3.8%","$269,974","22.3%","65"
"Richland, LA","19,908","-0.2%","$154,075","17.7%","71"
"LaSalle, LA","14,804","-8.0%","$143,106","0.0%","95"
"Natchitoches, LA","37,047","-0.1%","$165,622","15.8%","78"
"Columbia, AR","22,527","-5.5%","$127,887","12.6%","85"
"Hempstead, AR","19,778","-4.1%","$111,496","5.7%","79"
"Sabine, LA","22,085","1.2%","$171,890","23.5%","100"
"Sabine, TX","9,998","-1.8%","$184,573","23.5%","98"
"Rusk, TX","52,613","2.4%","$202,439","25.7%","66"
"McCurtain, OK","30,825","-2.4%","$189,458","18.8%","102"
"St. Landry, LA","81,464","-5.1%","$127,607","19.1%","68"
"Woodson, KS","3,118","10.8%","$97,476","25.0%","67"
"Otoe, NE","16,075","5.3%","$231,449","20.3%","34"
"Morris, TX","12,014","-0.1%","$174,439","22.0%","75"
"Morris, KS","5,388","6.4%","$155,476","48.0%","51"
"Dickinson, KS","18,423","5.3%","$162,398","10.3%","37"
"Harvey, KS","33,823","5.4%","$183,304","22.5%","36"
"Kearney, NE","6,697","5.2%","$245,633","0.0%","32"
"Phelps, MO","44,948","7.0%","$220,189","18.6%","68"
"Phelps, NE","8,983","5.4%","$213,771","21.0%","73"
"Okfuskee, OK","11,304","0.2%","$128,710","18.6%","72"
"Garvin, OK","25,779","3.1%","$144,922","20.5%","74"
"Canadian, OK","175,829","2.0%","$270,381","27.8%","45"
"Pratt, KS","9,120","7.0%","$122,213","26.6%","31"
"Rains, TX","12,505","0.4%","$276,255","21.3%","67"
"Bryan, OK","47,237","1.3%","$229,452","24.1%","65"
"Freestone, TX","19,813","-1.7%","$237,824","26.1%","74"
"Collin, TX","1,195,359","-2.5%","$524,929","37.8%","39"
"Jack, TX","8,623","15.9%","$223,588","32.2%","59"
"San Saba, TX","5,802","-9.9%","$204,741","14.8%","111"
"Eastland, TX","17,846","-6.5%","$144,701","32.6%","93"
"Tillman, OK","6,967","-2.9%","$53,511","25.8%","57"
"Wilbarger, TX","12,712","-10.7%","$99,480","19.0%","59"
"Grimes, TX","30,385","3.7%","$337,020","20.8%","71"
"Lavaca, TX","20,479","1.1%","$285,665","15.3%","61"
"Fayette, TX","24,783","1.4%","$461,251","20.3%","96"
"Live Oak, TX","11,444","0.0%","$224,856","22.2%","81"
"Comal, TX","193,928","-2.4%","$446,291","29.6%","66"
"Duval, TX","9,824","5.3%","$87,775","0.0%","120"
"Kerr, TX","53,166","-1.8%","$383,756","23.9%","73"
"Trego, KS","2,778","8.5%","$129,686","0.0%","225"
"Norton, KS","5,392","9.5%","$100,899","0.0%","31"
"Frontier, NE","2,562","1.5%","$152,877","40.0%","78"
"Sheridan, KS","2,442","10.5%","$198,452","0.0%","32"
"Finney, KS","38,001","1.8%","$237,707","27.0%","66"
"Hayes, NE","854","13.7%","$297,390","0.0%","67"
"Kearny, KS","3,910","6.3%","$186,860","0.0%","30"
"Hamilton, TX","8,320","2.0%","$258,275","18.8%","89"
"Hamilton, KS","2,485","6.9%","$139,820","33.3%","73"
"Wheeler, TX","4,902","-10.7%","$88,053","13.7%","102"
"Hemphill, TX","3,311","-1.8%","$162,030","0.0%","68"
"Lipscomb, TX","2,964","-14.7%","$121,776","0.0%","36"
"Stevens, KS","5,212","4.4%","$157,242","28.5%","47"
"Hansford, TX","5,182","-2.5%","$136,876","0.0%","122"
"Carson, TX","5,802","-1.1%","$166,869","10.5%","49"
"Armstrong, TX","1,883","0.9%","$237,062","40.0%","64"
"Moore, TX","21,234","3.2%","$180,235","11.7%","39"
"Potter, TX","114,647","-0.3%","$145,370","29.7%","59"
"Castro, TX","7,328","-9.8%","$126,530","0.0%","68"
"Parmer, TX","9,752","1.3%","$155,296","20.0%","57"
"Coke, TX","3,315","-4.2%","$140,927","0.0%","103"
"Kent, TX","727","-","-","0.0%","132"
"Glasscock, TX","1,070","-3.6%","$282,971","0.0%","17"
"Reagan, TX","3,259","-0.1%","$175,642","0.0%","50"
"Gaines, TX","21,904","7.3%","$225,757","31.4%","48"
"Ector, TX","164,494","4.2%","$246,029","38.6%","43"
"Crane, TX","4,623","0.8%","$201,225","28.5%","36"
"Real, TX","2,821","0.7%","$273,358","6.4%","120"
"Kinney, TX","3,140","-5.0%","$111,952","0.0%","111"
"Schleicher, TX","2,426","-","-","0.0%","114"
"Crockett, TX","2,881","-20.2%","$102,827","0.0%","42"
"Crowley, CO","5,734","3.1%","$148,488","0.0%","51"
"Clear Creek, CO","9,358","0.2%","$585,207","23.9%","40"
"Eagle, CO","55,374","3.2%","$1,298,243","9.0%","114"
"De Baca, NM","1,580","6.1%","$93,293","0.0%","99"
"Torrance, NM","15,290","-0.7%","$211,397","18.6%","87"
"Grand, CO","15,794","0.9%","$777,707","18.2%","69"
"Grand, UT","9,697","-0.9%","$594,241","18.1%","104"
"Dolores, CO","2,385","1.4%","$285,879","0.0%","38"
"Macoupin, IL","44,566","-1.3%","$136,614","26.0%","51"
"Bollinger, MO","10,591","4.6%","$198,426","27.5%","48"
"Dunklin, MO","27,795","8.0%","$90,501","19.2%","101"
"Grenada, MS","21,342","-0.5%","$121,896","11.4%","98"
"Panola, TX","22,624","-0.8%","$199,933","22.7%","78"
"Panola, MS","32,965","0.8%","$185,935","20.0%","61"
"Yazoo, MS","26,837","7.7%","$106,773","26.0%","60"
"Amite, MS","12,611","5.6%","$152,977","0.0%","92"
"Clark, AR","21,378","1.6%","$154,954","18.3%","62"
"Clark, KS","1,987","3.7%","$84,623","0.0%","68"
"Clark, MO","6,680","3.8%","$144,689","21.0%","31"
"Callaway, MO","44,541","5.0%","$253,422","24.4%","36"
"Boone, AR","37,896","4.7%","$222,776","23.0%","66"
"Boone, MO","189,463","5.1%","$322,855","22.3%","39"
"Adair, OK","19,595","8.0%","$166,216","12.3%","85"
"Adair, MO","25,224","2.2%","$179,170","13.8%","59"
